CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL,DET_STATUS,DET_PROB,BENCH_ID
1,21:21:38:742,325793,227723,378,232,1722,0,0,0,2
2,21:21:38:742,325983,224137,351,227,1642,0,0,0,5
3,21:21:38:742,327455,230035,430,178,1635,0,0,0,0
1,21:21:38:943,120003189,168079695,16206,85045,1044773,0,0,0,2
2,21:21:38:943,120003342,224219805,3073,85637,619686,0,0,0,5
3,21:21:38:943,120004136,265885908,222,64,1654,0,0,0,0
1,21:21:39:143,120002895,183586994,7087,88716,912875,0,0,0,2
2,21:21:39:143,120003195,190937605,4352,91574,836881,0,0,0,5
3,21:21:39:143,120002108,265896243,29,23,1287,0,0,0,0
1,21:21:39:343,120002697,199068781,891,93864,787669,0,0,0,5
2,21:21:39:343,120002973,199376954,2014,91069,774698,0,0,0,2
3,21:21:39:343,120002303,265900347,22,12,1248,0,0,0,0
1,21:21:39:544,120002850,190406355,84981,83135,1088641,0,0,0,5
2,21:21:39:544,120002947,198264807,1351,92775,778678,0,0,0,2
3,21:21:39:544,333397,231018,396,230,1774,0,0,0,0
1,21:21:39:744,120002690,189749374,840,90384,844917,0,0,0,2
2,21:21:39:744,120003026,187093675,166119,89095,1348409,0,0,0,5
3,21:21:39:744,120005070,21238139,211820,38252,785990,0,0,0,0
1,21:21:39:945,120002917,173114091,83968,84370,1215145,0,0,0,2
2,21:21:39:945,120003148,186787976,166047,95729,1351052,0,0,0,2
3,21:21:39:945,120004061,16371814,83727,12663,358506,0,0,0,0
1,21:21:40:145,120002714,209152938,1163,99220,698780,0,0,0,2
2,21:21:40:145,120002850,198369708,642,83431,791624,0,0,0,2
3,21:21:40:145,120003889,18680756,134219,46625,542845,0,0,0,0
1,21:21:40:346,120002808,197702389,952,93763,791031,0,0,0,5
2,21:21:40:346,120002902,185619165,535,96140,862561,0,0,0,2
3,21:21:40:346,120004232,34904855,146539,64066,746495,0,0,0,0
1,21:21:40:546,120002551,194929555,166459,82682,1312022,0,1,43,5
2,21:21:40:546,120002688,167843034,45,92410,985051,0,1,37,2
3,21:21:40:546,120002212,265892539,15,9,1274,0,1,22,0
1,21:21:40:747,120012139,214788397,1464,91063,680488,0,1,44,2
2,21:21:40:747,120012142,166249777,83152,84404,1253411,0,1,40,2
3,21:21:40:747,120003463,92249696,290205,1156954,1633664,0,0,0,0
1,21:21:40:947,120011332,158367196,331208,80025,2051493,0,1,25,2
2,21:21:40:947,120011640,195668638,84121,90912,1043950,0,1,25,1
3,21:21:40:947,120004352,80852705,644568,1124542,3146247,0,0,0,0
1,21:21:41:147,120011734,187269786,411047,83696,2080512,0,1,29,2
2,21:21:41:147,120011518,213206624,82864,82163,932776,0,1,35,7
3,21:21:41:147,120004798,68324884,553912,972856,2463349,0,0,0,0
1,21:21:41:348,120011212,183060311,5322,86853,904631,0,1,23,5
2,21:21:41:348,120011148,181138343,577275,83698,2610194,0,1,27,2
3,21:21:41:348,120004582,74028399,706436,1337130,2602399,0,2,98,0
1,21:21:41:548,120010891,212203869,85261,98404,936152,0,1,31,2
2,21:21:41:548,120011140,194226925,166939,97736,1292940,0,1,31,5
3,21:21:41:548,120013221,93341347,560966,1885503,2798366,0,2,98,0
1,21:21:41:749,120011336,163260190,249261,87967,1759590,0,1,19,2
2,21:21:41:749,120011436,197067024,83774,88344,1045783,0,1,33,5
3,21:21:41:749,120013434,110268553,367258,2423359,2538978,0,2,98,0
1,21:21:41:949,120011535,194975429,86216,97305,1056171,0,1,30,5
2,21:21:41:949,120011348,183639157,486,89655,886722,0,1,29,5
3,21:21:41:949,120014544,111378726,409405,2185373,2816548,0,2,98,0
1,21:21:42:150,120011015,193787544,2104,82636,828301,0,1,22,5
2,21:21:42:150,120010776,189354922,166333,84677,1344376,0,1,29,2
3,21:21:42:150,120014844,109366940,348674,2133403,2716711,0,2,98,0
1,21:21:42:350,120010911,209997230,414319,91303,1932545,0,1,29,5
2,21:21:42:350,120011104,203871249,1058,94310,743577,0,1,35,7
3,21:21:42:350,120012766,107567055,407651,2135319,2834318,0,2,98,0
1,21:21:42:550,120011183,216748292,1710,89201,660786,0,1,27,5
2,21:21:42:550,120011134,211840408,82770,87034,941230,0,1,39,2
3,21:21:42:550,120012875,114006032,259116,2565473,2119203,0,2,98,0
1,21:21:42:751,120010857,188935503,331496,94327,1831499,0,1,20,2
2,21:21:42:751,120011058,198052821,83741,95312,1018747,0,1,39,1
