Sample     Label        p(atk)   Status     Verdict
11         attack       0.7735   ATTACK     [TP] Correct
12         ?            0.5595   ATTACK     [??] No label
13         attack       0.6020   ATTACK     [TP] Correct
14         ?            0.6321   ATTACK     [??] No label
15         attack       0.5844   ATTACK     [TP] Correct
50         ?            0.0001   BENIGN     [??] No label
100        ?            0.1061   BENIGN     [??] No label
150        ?            0.3050   BENIGN     [??] No label
166        ?            0.5187   ATTACK     [??] No label
168        ?            0.7084   ATTACK     [??] No label
169        attack       0.6013   ATTACK     [TP] Correct
170        ?            0.6069   ATTACK     [??] No label
171        attack       0.6039   ATTACK     [TP] Correct
172        ?            0.6019   ATTACK     [??] No label
173        attack       0.6029   ATTACK     [TP] Correct
174        ?            0.6062   ATTACK     [??] No label
175        attack       0.6044   ATTACK     [TP] Correct
176        ?            0.5949   ATTACK     [??] No label
177        attack       0.5999   ATTACK     [TP] Correct
178        ?            0.6071   ATTACK     [??] No label
179        attack       0.6031   ATTACK     [TP] Correct
180        ?            0.5986   ATTACK     [??] No label
181        attack       0.6011   ATTACK     [TP] Correct
182        ?            0.6084   ATTACK     [??] No label
183        attack       0.6044   ATTACK     [TP] Correct
184        ?            0.6044   ATTACK     [??] No label
185        attack       0.6044   ATTACK     [TP] Correct
186        ?            0.6138   ATTACK     [??] No label
187        attack       0.6090   ATTACK     [TP] Correct
188        ?            0.6079   ATTACK     [??] No label
189        attack       0.6085   ATTACK     [TP] Correct
190        ?            0.6109   ATTACK     [??] No label
191        attack       0.6097   ATTACK     [TP] Correct
192        ?            0.6112   ATTACK     [??] No label
193        attack       0.6104   ATTACK     [TP] Correct
194        ?            0.6098   ATTACK     [??] No label
195        attack       0.6101   ATTACK     [TP] Correct
196        ?            0.6145   ATTACK     [??] No label
197        attack       0.6121   ATTACK     [TP] Correct
198        ?            0.6079   ATTACK     [??] No label
199        attack       0.6102   ATTACK     [TP] Correct
200        ?            0.6131   ATTACK     [??] No label
201        attack       0.6116   ATTACK     [TP] Correct
202        ?            0.6043   ATTACK     [??] No label
203        attack       0.6081   ATTACK     [TP] Correct
204        ?            0.6096   ATTACK     [??] No label
205        attack       0.6088   ATTACK     [TP] Correct
206        ?            0.6051   ATTACK     [??] No label
207        attack       0.6071   ATTACK     [TP] Correct
208        ?            0.6065   ATTACK     [??] No label
209        attack       0.6068   ATTACK     [TP] Correct
210        ?            0.6030   ATTACK     [??] No label
211        attack       0.6049   ATTACK     [TP] Correct
212        ?            0.6054   ATTACK     [??] No label
213        attack       0.6049   ATTACK     [TP] Correct
214        ?            0.6019   ATTACK     [??] No label
215        attack       0.6034   ATTACK     [TP] Correct
216        ?            0.5995   ATTACK     [??] No label
217        attack       0.6016   ATTACK     [TP] Correct
