feature,weighted_cohen_d,ks_stat,ks_pval,overlap,tier,n_benign,n_attack
IPC_std_w8,1.6804,0.756,0.0,0.2127,Strong,25000,32500
IPC_std_w10,1.6415,0.741,0.0,0.2208,Strong,25000,32500
IPC_std_w12,1.628,0.7338,0.0,0.2295,Strong,25000,32500
IPC_std_w14,1.5955,0.7343,0.0,0.2262,Strong,25000,32500
WASTE_std_w8,1.097,0.7577,0.0,0.2328,Strong,25000,32500
WASTE_std_w10,1.0947,0.7462,0.0,0.2446,Strong,25000,32500
WASTE_std_w12,1.0835,0.7406,0.0,0.2447,Strong,25000,32500
WASTE_std_w14,1.063,0.7338,0.0,0.2488,Strong,25000,32500
d_MPKI_avg_w10,0.0237,0.0823,0.0,0.9995,Negligible,14708,27715
d_MPKI_avg_w14,0.0206,0.1049,0.0,0.9995,Negligible,14143,26158
d_MPKI_avg_w8,0.0193,0.0858,0.0,0.9943,Negligible,15180,28637
d_MPKI_avg_w12,0.0146,0.096,0.0,0.9958,Negligible,14396,26867
MPKI_avg_w10,0.009,0.5855,0.0,0.4628,Negligible,25000,32500
IPC_avg_w10,-0.0082,0.1887,0.0,0.2926,Negligible,25000,32500
IPC_avg_w8,0.0039,0.2002,0.0,0.2741,Negligible,25000,32500
BUS_P_avg_w12,0.0026,0.4575,0.0,0.3291,Negligible,25000,32500
IPC_avg_w12,-0.0024,0.1819,0.0,0.2786,Negligible,25000,32500
IPC_avg_w14,0.0019,0.1884,0.0,0.3267,Negligible,25000,32500
MPKI_avg_w8,0.0014,0.6064,0.0,0.4547,Negligible,25000,32500
MPKI_avg_w14,0.0009,0.5973,0.0,0.4526,Negligible,25000,32500
