layers,units,lr,w,avg_recall,avg_f1,avg_fpr
1,8,0.001,1,0.7163949489023688,0.45569986198757845,0.5356010041248365
1,8,0.005,1,0.7118965214513104,0.5018970449423535,0.469276779766682
1,16,0.001,1,0.7457584684687607,0.5122737279113082,0.48211107644382
1,16,0.005,1,0.7034885387565764,0.534175921356893,0.40280132542966773
2,8,0.001,1,0.8032433831368024,0.5977154953826813,0.4210166487974483
2,8,0.005,1,0.744022955973579,0.6057368972937553,0.39309521273475573
2,16,0.001,1,0.8226194808799991,0.6724898877696223,0.314131365313211
2,16,0.005,1,0.7695572933877282,0.49696338519351657,0.5218997688894377
3,8,0.001,1,0.8436405433154871,0.654054504245854,0.3795486613774556
3,8,0.005,1,0.7346826389891546,0.5323658107770111,0.41413488761900386
3,16,0.001,1,0.8577654477475944,0.6993994746580267,0.32975344839448184
3,16,0.005,1,0.871042803306139,0.5642661293788912,0.59103162351535
1,8,0.001,2,0.9030853254909006,0.799202796570162,0.25123914599709
1,8,0.005,2,0.9364411179981573,0.8177973588589517,0.25112151521874365
1,16,0.001,2,0.9043917707693316,0.8007565076943534,0.25089213755315287
1,16,0.005,2,0.9711371388204213,0.851279138579585,0.2293418671006747
2,8,0.001,2,0.9728343257010883,0.8538970826133465,0.2275701482400499
2,8,0.005,2,0.9513898838311269,0.830498871278101,0.23772862544236367
2,16,0.001,2,0.9698519042717815,0.8533581299270219,0.22659366831990085
2,16,0.005,2,0.9634662731927776,0.8749452912434407,0.21508431584182972
3,8,0.001,2,0.970931563931887,0.8509545552296661,0.22741774411749333
3,8,0.005,2,0.9738276101784986,0.8210635225120096,0.2918314591330157
3,16,0.001,2,0.9706841113322463,0.8572456302045814,0.2218457120473865
3,16,0.005,2,0.984931687985139,0.8450258965390749,0.23971625534732355
1,8,0.001,3,0.9390919455622478,0.8402566276015687,0.22325508864378613
1,8,0.005,3,0.9386685074973196,0.8253008360547538,0.24609898703517058
1,16,0.001,3,0.9315370134826975,0.8199402675944899,0.24904319995447805
1,16,0.005,3,0.9298379295888907,0.8344264480989402,0.22868858280114793
2,8,0.001,3,0.9348730592483794,0.8370747403085611,0.2258322546580683
2,8,0.005,3,0.9348274244406003,0.8285827852373705,0.23562985733095992
2,16,0.001,3,0.941919361484994,0.8429004821342312,0.22426352180578202
2,16,0.005,3,0.9375613023737086,0.8266496599162945,0.24336004148573304
3,8,0.001,3,0.9268515868277619,0.8352175359094398,0.2241384425268529
3,8,0.005,3,0.9250828449399469,0.8176941340681818,0.23333626451807712
3,16,0.001,3,0.9299951510048082,0.8399956064708549,0.22128862952521583
3,16,0.005,3,0.9150180486466878,0.8346373860808859,0.2084819909811817
1,8,0.001,4,0.9255395934187878,0.8173631179652805,0.24459011303353523
1,8,0.005,4,0.9412883047406677,0.8419006452739222,0.22500872555665077
1,16,0.001,4,0.927722027165451,0.8314661929024776,0.2278757857855584
1,16,0.005,4,0.9476129843602037,0.8424380000703534,0.227408097208562
2,8,0.001,4,0.9354230716845857,0.8377010401483787,0.22241241241799464
2,8,0.005,4,0.9517239511378545,0.8453306504804428,0.224123523560869
2,16,0.001,4,0.9517542680264375,0.8488634911379401,0.2216294372519112
2,16,0.005,4,0.935241507359612,0.8356224770478959,0.22453527549790192
3,8,0.001,4,0.9171910422145022,0.8298917453841279,0.223240083208891
3,8,0.005,4,0.9392054379638596,0.8447285170404172,0.2197093136273613
3,16,0.001,4,0.9581981543951292,0.8556197699600976,0.21963416990973475
3,16,0.005,4,0.947538403486921,0.843339430957575,0.22629330585532764
1,8,0.001,5,0.916273294698662,0.8336327168539726,0.21388583382905302
1,8,0.005,5,0.9482519748092301,0.8299704852292444,0.24490757016615405
1,16,0.001,5,0.9203121435757371,0.8280848826128961,0.23025444084888136
1,16,0.005,5,0.9290574424485684,0.8393342215368202,0.21267706385673316
2,8,0.001,5,0.946027970543849,0.8500585261731475,0.2207740075710356
2,8,0.005,5,0.921634819736283,0.8357592293244203,0.21738683558121275
2,16,0.001,5,0.9373526161173983,0.8448264119666582,0.22084618543550358
2,16,0.005,5,0.9497900652919885,0.8501098282704627,0.22196802863063594
3,8,0.001,5,0.9417072225957599,0.8400918662412646,0.22544939029050176
3,8,0.005,5,0.9316131507403169,0.8428106025673621,0.21165252326784573
3,16,0.001,5,0.9472446097868849,0.8475841111814602,0.22293074709170752
3,16,0.005,5,0.9461601913816409,0.8533184518943123,0.2152426255641653
1,8,0.001,6,0.8957942013912283,0.7930984467808393,0.2449359112508954
1,8,0.005,6,0.9191758222203724,0.8118369523901847,0.24958228322012488
1,16,0.001,6,0.9170505274821226,0.8189274304099129,0.24288866945203194
1,16,0.005,6,0.9386526942567949,0.8192287677286647,0.2490886473879273
2,8,0.001,6,0.9436909458878893,0.8450147413992634,0.2252567242101947
2,8,0.005,6,0.9222896514997773,0.8322930298456399,0.21867539425365234
2,16,0.001,6,0.9487529681071483,0.8465148577262027,0.22128611448689325
2,16,0.005,6,0.9520392989393294,0.8335559199430864,0.23956428723193035
3,8,0.001,6,0.9421919020181628,0.840526611427018,0.223129054532488
3,8,0.005,6,0.9437118690514528,0.8391143212903847,0.22761819399900257
3,16,0.001,6,0.9512296130065231,0.8458091777574953,0.22500917112057173
3,16,0.005,6,0.9707414511928922,0.8586233105842498,0.22475280937333722
1,8,0.001,7,0.9233930904998846,0.8191246744457171,0.24626502358686522
1,8,0.005,7,0.9275519552679604,0.8320547130794121,0.22879177429935232
1,16,0.001,7,0.9464848556114782,0.8510680889112496,0.2232771941750117
1,16,0.005,7,0.9219984212330619,0.8325908513974923,0.21892327076712945
2,8,0.001,7,0.9563371888830616,0.8557452172031125,0.21730844819959477
2,8,0.005,7,0.9368586483302588,0.8361818670937137,0.222922839614465
2,16,0.001,7,0.953660077236084,0.8502793892561776,0.21732381165444137
2,16,0.005,7,0.9500836909334346,0.8508113571293265,0.22052404348775195
3,8,0.001,7,0.9448509615276617,0.8414968677579588,0.22806207035237996
3,8,0.005,7,0.964036320426878,0.8455763570050158,0.2312803164357085
3,16,0.001,7,0.9654194894863528,0.8554127410570012,0.2213142729707252
3,16,0.005,7,0.9501511491181288,0.8434965821751597,0.22598245342089593
1,8,0.001,8,0.9362435518111317,0.8131579654133908,0.242959259271273
1,8,0.005,8,0.9264939763597603,0.8165006503869823,0.24564190534253494
1,16,0.001,8,0.9249496508802562,0.8319083208502679,0.24168808187036342
1,16,0.005,8,0.9347744985956856,0.8369691673915023,0.2298320323967568
