tau,recall,fpr,f1,n_smooth,model
0.0,1.0,1.0,0.5817,1,MLP
0.005,0.9999,0.1991,0.8747,1,MLP
0.0101,0.9999,0.1983,0.8752,1,MLP
0.0151,0.9999,0.1978,0.8754,1,MLP
0.0201,0.9999,0.1976,0.8755,1,MLP
0.0251,0.9999,0.1974,0.8756,1,MLP
0.0302,0.9999,0.1973,0.8757,1,MLP
0.0352,0.9999,0.1972,0.8757,1,MLP
0.0402,0.9999,0.197,0.8758,1,MLP
0.0452,0.9999,0.197,0.8759,1,MLP
0.0503,0.9999,0.1969,0.8759,1,MLP
0.0553,0.9999,0.1969,0.8759,1,MLP
0.0603,0.9999,0.1969,0.8759,1,MLP
0.0653,0.9999,0.1968,0.8759,1,MLP
0.0704,0.9999,0.1968,0.876,1,MLP
0.0754,0.9999,0.0837,0.9431,1,MLP
0.0804,0.9999,0.0763,0.9479,1,MLP
0.0854,0.9999,0.0754,0.9485,1,MLP
0.0905,0.9999,0.0751,0.9487,1,MLP
0.0955,0.9999,0.075,0.9488,1,MLP
0.1005,0.9999,0.0747,0.949,1,MLP
0.1055,0.9999,0.0744,0.9491,1,MLP
0.1106,0.9999,0.0742,0.9493,1,MLP
0.1156,0.9998,0.074,0.9494,1,MLP
0.1206,0.9998,0.0738,0.9495,1,MLP
0.1256,0.9998,0.0736,0.9496,1,MLP
0.1307,0.9998,0.0678,0.9534,1,MLP
0.1357,0.9998,0.0676,0.9535,1,MLP
0.1407,0.9998,0.0674,0.9537,1,MLP
0.1457,0.9998,0.0673,0.9538,1,MLP
0.1508,0.9998,0.0671,0.9539,1,MLP
0.1558,0.9998,0.0669,0.954,1,MLP
0.1608,0.9998,0.0668,0.9541,1,MLP
0.1658,0.9997,0.0666,0.9542,1,MLP
0.1709,0.9997,0.0664,0.9543,1,MLP
0.1759,0.9997,0.0662,0.9544,1,MLP
0.1809,0.9997,0.0605,0.9581,1,MLP
0.1859,0.9996,0.0603,0.9582,1,MLP
0.191,0.9996,0.0602,0.9583,1,MLP
0.196,0.9996,0.0601,0.9584,1,MLP
0.201,0.9996,0.0599,0.9585,1,MLP
0.206,0.9996,0.0598,0.9586,1,MLP
0.2111,0.9996,0.0597,0.9587,1,MLP
0.2161,0.9996,0.0596,0.9587,1,MLP
0.2211,0.9996,0.0594,0.9588,1,MLP
0.2261,0.9996,0.0593,0.9589,1,MLP
0.2312,0.9996,0.0592,0.959,1,MLP
0.2362,0.9995,0.0591,0.959,1,MLP
0.2412,0.9995,0.0589,0.9591,1,MLP
0.2462,0.9995,0.0588,0.9592,1,MLP
0.2513,0.9995,0.0587,0.9593,1,MLP
0.2563,0.9995,0.0585,0.9593,1,MLP
0.2613,0.9995,0.0585,0.9594,1,MLP
0.2663,0.9995,0.0584,0.9594,1,MLP
0.2714,0.9994,0.0583,0.9595,1,MLP
0.2764,0.9994,0.0582,0.9596,1,MLP
0.2814,0.9994,0.058,0.9596,1,MLP
0.2864,0.9993,0.0579,0.9597,1,MLP
0.2915,0.9993,0.0578,0.9597,1,MLP
0.2965,0.9993,0.0578,0.9598,1,MLP
0.3015,0.9992,0.0576,0.9598,1,MLP
0.3065,0.9991,0.0575,0.9598,1,MLP
0.3116,0.9991,0.0574,0.9599,1,MLP
0.3166,0.9991,0.0572,0.96,1,MLP
0.3216,0.999,0.0571,0.9601,1,MLP
0.3266,0.999,0.057,0.9601,1,MLP
0.3317,0.9989,0.0568,0.9602,1,MLP
0.3367,0.9989,0.0567,0.9603,1,MLP
0.3417,0.9989,0.0566,0.9603,1,MLP
0.3467,0.9988,0.0566,0.9603,1,MLP
0.3518,0.9988,0.0564,0.9604,1,MLP
0.3568,0.9987,0.0564,0.9604,1,MLP
0.3618,0.9987,0.0563,0.9605,1,MLP
0.3668,0.9987,0.0562,0.9605,1,MLP
0.3719,0.9987,0.0561,0.9605,1,MLP
0.3769,0.9986,0.056,0.9606,1,MLP
0.3819,0.9986,0.056,0.9606,1,MLP
0.3869,0.9986,0.0559,0.9607,1,MLP
0.392,0.9986,0.0558,0.9607,1,MLP
0.397,0.9985,0.0558,0.9607,1,MLP
0.402,0.9985,0.0557,0.9607,1,MLP
0.407,0.9985,0.0556,0.9608,1,MLP
0.4121,0.9984,0.0555,0.9608,1,MLP
0.4171,0.9984,0.0554,0.9609,1,MLP
0.4221,0.9984,0.0553,0.9609,1,MLP
0.4271,0.9983,0.0553,0.9609,1,MLP
0.4322,0.9983,0.0551,0.961,1,MLP
0.4372,0.9982,0.0549,0.9611,1,MLP
0.4422,0.9982,0.0548,0.9612,1,MLP
0.4472,0.9981,0.0546,0.9613,1,MLP
0.4523,0.9981,0.0546,0.9613,1,MLP
0.4573,0.9981,0.0545,0.9614,1,MLP
0.4623,0.9981,0.0543,0.9614,1,MLP
0.4673,0.9981,0.0542,0.9615,1,MLP
0.4724,0.998,0.0542,0.9615,1,MLP
0.4774,0.998,0.054,0.9616,1,MLP
0.4824,0.9979,0.0539,0.9617,1,MLP
0.4874,0.9979,0.0538,0.9617,1,MLP
0.4925,0.9978,0.0536,0.9618,1,MLP
0.4975,0.9978,0.0536,0.9618,1,MLP
0.5025,0.9977,0.0536,0.9618,1,MLP
0.5075,0.9977,0.0534,0.9618,1,MLP
0.5126,0.9976,0.0532,0.9619,1,MLP
0.5176,0.9976,0.053,0.962,1,MLP
0.5226,0.9975,0.0529,0.9621,1,MLP
0.5276,0.9975,0.0527,0.9622,1,MLP
0.5327,0.9975,0.0526,0.9623,1,MLP
0.5377,0.9974,0.0526,0.9623,1,MLP
0.5427,0.9974,0.0525,0.9623,1,MLP
0.5477,0.9974,0.0525,0.9623,1,MLP
0.5528,0.9974,0.0525,0.9623,1,MLP
0.5578,0.9974,0.0524,0.9624,1,MLP
