n_smooth,threshold,recall,fpr,f1,median_latency
1,0.0,1.0,1.0,0.9333,0.0
1,0.0086,0.9481,0.1228,0.9646,0.0
1,0.0172,0.944,0.1216,0.9626,0.0
1,0.0258,0.9414,0.1214,0.9612,0.0
1,0.0343,0.9398,0.1212,0.9604,0.0
1,0.0429,0.938,0.1204,0.9595,0.0
1,0.0515,0.9339,0.1202,0.9573,0.0
1,0.0601,0.9331,0.12,0.9569,0.0
1,0.0687,0.9319,0.12,0.9562,0.0
1,0.0773,0.9309,0.12,0.9558,0.0
1,0.0859,0.9293,0.1194,0.9549,0.0
1,0.0944,0.9292,0.1194,0.9548,0.0
1,0.103,0.9285,0.1194,0.9545,0.0
1,0.1116,0.9278,0.1192,0.9541,0.0
1,0.1202,0.9274,0.1192,0.9539,0.0
1,0.1288,0.9274,0.1192,0.9539,0.0
1,0.1374,0.926,0.119,0.9532,0.0
1,0.146,0.9253,0.119,0.9528,0.0
1,0.1545,0.9243,0.119,0.9522,0.0
1,0.1631,0.924,0.038,0.9578,0.0
1,0.1717,0.9237,0.0368,0.9577,0.0
1,0.1803,0.9236,0.0208,0.9588,0.0
1,0.1889,0.9235,0.0086,0.9596,0.0
1,0.1975,0.9234,0.0086,0.9596,0.0
1,0.2061,0.9234,0.0086,0.9596,0.0
1,0.2146,0.9233,0.0084,0.9595,0.0
1,0.2232,0.9233,0.007,0.9596,0.0
1,0.2318,0.9232,0.007,0.9596,0.0
1,0.2404,0.9228,0.007,0.9594,0.0
1,0.249,0.9228,0.0068,0.9594,0.0
1,0.2576,0.9227,0.0068,0.9593,0.0
1,0.2662,0.9227,0.0068,0.9593,0.0
1,0.2747,0.9226,0.0068,0.9592,0.0
1,0.2833,0.9225,0.0068,0.9592,0.0
1,0.2919,0.9224,0.0068,0.9591,0.0
1,0.3005,0.9223,0.0068,0.9591,0.0
1,0.3091,0.9221,0.0068,0.959,0.0
1,0.3177,0.9218,0.0066,0.9589,0.0
1,0.3263,0.9216,0.0064,0.9588,0.0
1,0.3348,0.9213,0.0058,0.9586,0.0
1,0.3434,0.921,0.0058,0.9585,0.0
1,0.352,0.9208,0.0058,0.9584,0.0
1,0.3606,0.9208,0.0058,0.9583,0.0
1,0.3692,0.9206,0.0058,0.9582,0.0
1,0.3778,0.9204,0.0058,0.9581,0.0
1,0.3864,0.92,0.0056,0.9579,0.0
1,0.3949,0.9195,0.0056,0.9577,0.0
1,0.4035,0.9192,0.0056,0.9575,0.0
1,0.4121,0.9192,0.0056,0.9575,0.0
1,0.4207,0.9191,0.0056,0.9574,0.0
1,0.4293,0.9189,0.0054,0.9574,0.0
1,0.4379,0.9188,0.0044,0.9574,0.0
1,0.4465,0.9187,0.004,0.9573,0.0
1,0.4551,0.9183,0.0038,0.9571,0.0
1,0.4636,0.918,0.0034,0.957,0.0
1,0.4722,0.9178,0.0034,0.9569,0.0
1,0.4808,0.9175,0.0034,0.9567,0.0
1,0.4894,0.9172,0.0034,0.9566,0.0
1,0.498,0.917,0.0034,0.9564,0.0
1,0.5066,0.9167,0.0034,0.9563,0.0
1,0.5152,0.9163,0.0034,0.9561,0.0
1,0.5237,0.9162,0.0034,0.956,0.0
1,0.5323,0.916,0.0034,0.9559,0.0
1,0.5409,0.9159,0.0034,0.9559,0.0
1,0.5495,0.9156,0.0034,0.9557,0.0
1,0.5581,0.9155,0.0034,0.9557,0.0
1,0.5667,0.9153,0.0034,0.9555,0.0
