tau,recall,fpr,f1,n_smooth,model
0.0,1.0,1.0,0.7273,1,MLP_v2
0.005,1.0,0.0857,0.9689,1,MLP_v2
0.0101,1.0,0.0853,0.969,1,MLP_v2
0.0151,1.0,0.0851,0.9691,1,MLP_v2
0.0201,1.0,0.0848,0.9692,1,MLP_v2
0.0251,1.0,0.0847,0.9692,1,MLP_v2
0.0302,1.0,0.0847,0.9692,1,MLP_v2
0.0352,1.0,0.0846,0.9693,1,MLP_v2
0.0402,1.0,0.0846,0.9693,1,MLP_v2
0.0452,1.0,0.0846,0.9693,1,MLP_v2
0.0503,1.0,0.0845,0.9693,1,MLP_v2
0.0553,1.0,0.0845,0.9693,1,MLP_v2
0.0603,1.0,0.0845,0.9693,1,MLP_v2
0.0653,1.0,0.0845,0.9693,1,MLP_v2
0.0704,1.0,0.0845,0.9693,1,MLP_v2
0.0754,1.0,0.0845,0.9693,1,MLP_v2
0.0804,1.0,0.0845,0.9693,1,MLP_v2
0.0854,1.0,0.0845,0.9692,1,MLP_v2
0.0905,1.0,0.0845,0.9692,1,MLP_v2
0.0955,1.0,0.0845,0.9692,1,MLP_v2
0.1005,1.0,0.0845,0.9692,1,MLP_v2
0.1055,1.0,0.0845,0.9692,1,MLP_v2
0.1106,1.0,0.0845,0.9692,1,MLP_v2
0.1156,1.0,0.0845,0.9692,1,MLP_v2
0.1206,0.9999,0.0845,0.9692,1,MLP_v2
0.1256,0.9988,0.0845,0.9686,1,MLP_v2
0.1307,0.9987,0.0845,0.9686,1,MLP_v2
0.1357,0.9985,0.0845,0.9685,1,MLP_v2
0.1407,0.9984,0.0845,0.9685,1,MLP_v2
0.1457,0.9983,0.0845,0.9684,1,MLP_v2
0.1508,0.9983,0.0845,0.9684,1,MLP_v2
0.1558,0.9981,0.0845,0.9683,1,MLP_v2
0.1608,0.9979,0.0845,0.9682,1,MLP_v2
0.1658,0.9978,0.0845,0.9681,1,MLP_v2
0.1709,0.9978,0.0845,0.9681,1,MLP_v2
0.1759,0.9977,0.0845,0.9681,1,MLP_v2
0.1809,0.9977,0.0845,0.9681,1,MLP_v2
0.1859,0.9974,0.0845,0.968,1,MLP_v2
0.191,0.9973,0.0845,0.9679,1,MLP_v2
0.196,0.9972,0.0845,0.9679,1,MLP_v2
0.201,0.9972,0.0845,0.9679,1,MLP_v2
0.206,0.9972,0.0845,0.9679,1,MLP_v2
0.2111,0.9971,0.0845,0.9678,1,MLP_v2
0.2161,0.997,0.0845,0.9678,1,MLP_v2
0.2211,0.997,0.0845,0.9678,1,MLP_v2
0.2261,0.997,0.0845,0.9678,1,MLP_v2
0.2312,0.997,0.0845,0.9678,1,MLP_v2
0.2362,0.997,0.0845,0.9678,1,MLP_v2
0.2412,0.997,0.0845,0.9678,1,MLP_v2
0.2462,0.997,0.0845,0.9678,1,MLP_v2
0.2513,0.997,0.0845,0.9678,1,MLP_v2
0.2563,0.997,0.0845,0.9678,1,MLP_v2
0.2613,0.997,0.0845,0.9678,1,MLP_v2
0.2663,0.997,0.0845,0.9678,1,MLP_v2
0.2714,0.997,0.0845,0.9678,1,MLP_v2
0.2764,0.997,0.0845,0.9678,1,MLP_v2
0.2814,0.997,0.0845,0.9678,1,MLP_v2
0.2864,0.997,0.0845,0.9678,1,MLP_v2
0.2915,0.997,0.0845,0.9678,1,MLP_v2
0.2965,0.9969,0.0845,0.9677,1,MLP_v2
0.3015,0.9969,0.0845,0.9677,1,MLP_v2
0.3065,0.9969,0.0845,0.9677,1,MLP_v2
0.3116,0.9969,0.0845,0.9677,1,MLP_v2
0.3166,0.9969,0.0845,0.9677,1,MLP_v2
0.3216,0.9969,0.0845,0.9677,1,MLP_v2
0.3266,0.9969,0.0845,0.9677,1,MLP_v2
0.3317,0.9969,0.0845,0.9677,1,MLP_v2
0.3367,0.9969,0.0845,0.9677,1,MLP_v2
0.3417,0.9969,0.0845,0.9677,1,MLP_v2
0.3467,0.9968,0.0845,0.9677,1,MLP_v2
0.3518,0.9968,0.0844,0.9677,1,MLP_v2
