tau,recall,fpr,f1,n_smooth,model,median_latency
0.0,1.0,1.0,0.7273,1,MLP_v3,0.0
0.005,1.0,0.0822,0.9701,1,MLP_v3,0.0
0.0101,1.0,0.0822,0.9701,1,MLP_v3,0.0
0.0151,1.0,0.0822,0.9701,1,MLP_v3,0.0
0.0201,1.0,0.0821,0.9701,1,MLP_v3,0.0
0.0251,1.0,0.0821,0.9701,1,MLP_v3,0.0
0.0302,1.0,0.082,0.9702,1,MLP_v3,0.0
0.0352,1.0,0.082,0.9702,1,MLP_v3,0.0
0.0402,1.0,0.082,0.9702,1,MLP_v3,0.0
0.0452,1.0,0.082,0.9702,1,MLP_v3,0.0
0.0503,1.0,0.082,0.9702,1,MLP_v3,0.0
0.0553,1.0,0.082,0.9702,1,MLP_v3,0.0
0.0603,1.0,0.082,0.9702,1,MLP_v3,0.0
0.0653,1.0,0.082,0.9702,1,MLP_v3,0.0
0.0704,1.0,0.082,0.9702,1,MLP_v3,0.0
0.0754,1.0,0.082,0.9702,1,MLP_v3,0.0
0.0804,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.0854,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.0905,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.0955,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1005,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1055,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1106,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1156,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1206,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1256,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1307,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1357,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1407,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1457,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1508,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1558,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1608,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1658,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1709,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1759,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1809,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.1859,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.191,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.196,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.201,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.206,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2111,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2161,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2211,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2261,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2312,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2362,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2412,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2462,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2513,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2563,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2613,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2663,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2714,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2764,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2814,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2864,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2915,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.2965,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.3015,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.3065,0.9999,0.0818,0.9702,1,MLP_v3,0.0
0.3116,0.9999,0.0818,0.9702,1,MLP_v3,0.0
0.3166,0.9999,0.0818,0.9702,1,MLP_v3,0.0
0.3216,0.9999,0.0818,0.9702,1,MLP_v3,0.0
0.3266,0.9999,0.0818,0.9702,1,MLP_v3,0.0
0.3317,0.9999,0.0818,0.9702,1,MLP_v3,0.0
0.3367,0.9999,0.0818,0.9702,1,MLP_v3,0.0
0.3417,0.9998,0.0818,0.9701,1,MLP_v3,0.0
0.3467,0.9998,0.0817,0.9701,1,MLP_v3,0.0
0.3518,0.9998,0.0817,0.9701,1,MLP_v3,0.0
0.3568,0.9998,0.0817,0.9701,1,MLP_v3,0.0
0.3618,0.9997,0.0817,0.9701,1,MLP_v3,0.0
0.3668,0.9997,0.0817,0.9701,1,MLP_v3,0.0
0.3719,0.9996,0.0817,0.9701,1,MLP_v3,0.0
0.3769,0.9996,0.0817,0.9701,1,MLP_v3,0.0
0.3819,0.9996,0.0817,0.9701,1,MLP_v3,0.0
0.3869,0.9996,0.0817,0.9701,1,MLP_v3,0.0
0.392,0.9996,0.0817,0.97,1,MLP_v3,0.0
0.397,0.9995,0.0817,0.97,1,MLP_v3,0.0
0.402,0.9995,0.0817,0.97,1,MLP_v3,0.0
0.407,0.9994,0.0817,0.97,1,MLP_v3,0.0
0.4121,0.9994,0.0817,0.97,1,MLP_v3,0.0
