tau,recall,fpr,f1,n_smooth,model,median_latency
0.0,1.0,1.0,0.7273,1,MLP_v3,0.0
0.005,1.0,0.0822,0.9701,1,MLP_v3,0.0
0.0101,1.0,0.0819,0.9702,1,MLP_v3,0.0
0.0151,0.9996,0.0817,0.9701,1,MLP_v3,0.0
0.0201,0.9991,0.0817,0.9698,1,MLP_v3,0.0
0.0251,0.9991,0.0816,0.9699,1,MLP_v3,0.0
0.0302,0.999,0.0816,0.9698,1,MLP_v3,0.0
0.0352,0.999,0.0816,0.9698,1,MLP_v3,0.0
0.0402,0.9989,0.0816,0.9697,1,MLP_v3,0.0
0.0452,0.9988,0.0816,0.9697,1,MLP_v3,0.0
0.0503,0.9983,0.0816,0.9695,1,MLP_v3,0.0
0.0553,0.998,0.0816,0.9693,1,MLP_v3,0.0
0.0603,0.9979,0.0816,0.9692,1,MLP_v3,0.0
0.0653,0.9977,0.0816,0.9691,1,MLP_v3,0.0
0.0704,0.9974,0.0816,0.969,1,MLP_v3,0.0
0.0754,0.9973,0.0816,0.969,1,MLP_v3,0.0
0.0804,0.9972,0.0816,0.9689,1,MLP_v3,0.0
0.0854,0.9971,0.0816,0.9689,1,MLP_v3,0.0
0.0905,0.997,0.0816,0.9688,1,MLP_v3,0.0
0.0955,0.9969,0.0816,0.9688,1,MLP_v3,0.0
0.1005,0.9967,0.0816,0.9687,1,MLP_v3,0.0
0.1055,0.9961,0.0816,0.9684,1,MLP_v3,0.0
0.1106,0.996,0.0816,0.9683,1,MLP_v3,0.0
0.1156,0.9958,0.0816,0.9682,1,MLP_v3,0.0
0.1206,0.9956,0.0816,0.9681,1,MLP_v3,0.0
0.1256,0.9953,0.0816,0.968,1,MLP_v3,0.0
0.1307,0.9952,0.0816,0.9679,1,MLP_v3,0.0
0.1357,0.995,0.0816,0.9678,1,MLP_v3,0.0
0.1407,0.995,0.0816,0.9678,1,MLP_v3,0.0
0.1457,0.9949,0.0816,0.9677,1,MLP_v3,0.0
0.1508,0.9946,0.0816,0.9676,1,MLP_v3,0.0
0.1558,0.9946,0.0816,0.9676,1,MLP_v3,0.0
0.1608,0.9944,0.0815,0.9676,1,MLP_v3,0.0
0.1658,0.9943,0.0815,0.9675,1,MLP_v3,0.0
0.1709,0.9941,0.0815,0.9674,1,MLP_v3,0.0
0.1759,0.9941,0.0815,0.9674,1,MLP_v3,0.0
0.1809,0.994,0.0815,0.9674,1,MLP_v3,0.0
0.1859,0.9938,0.0815,0.9672,1,MLP_v3,0.0
0.191,0.9937,0.0815,0.9672,1,MLP_v3,0.0
0.196,0.9936,0.0815,0.9671,1,MLP_v3,0.0
0.201,0.9935,0.0815,0.9671,1,MLP_v3,0.0
0.206,0.9935,0.0815,0.967,1,MLP_v3,0.0
0.2111,0.9934,0.0815,0.967,1,MLP_v3,0.0
0.2161,0.9932,0.0815,0.9669,1,MLP_v3,0.0
0.2211,0.9932,0.0815,0.9669,1,MLP_v3,0.0
0.2261,0.9931,0.0815,0.9669,1,MLP_v3,0.0
0.2312,0.9931,0.0815,0.9669,1,MLP_v3,0.0
0.2362,0.9928,0.0815,0.9667,1,MLP_v3,0.0
0.2412,0.9928,0.0815,0.9667,1,MLP_v3,0.0
0.2462,0.9927,0.0815,0.9667,1,MLP_v3,0.0
0.2513,0.9927,0.0815,0.9667,1,MLP_v3,0.0
0.2563,0.9927,0.0815,0.9666,1,MLP_v3,0.0
0.2613,0.9927,0.0815,0.9666,1,MLP_v3,0.0
0.2663,0.9926,0.0815,0.9666,1,MLP_v3,0.0
0.2714,0.9925,0.0815,0.9666,1,MLP_v3,0.0
0.2764,0.9925,0.0815,0.9665,1,MLP_v3,0.0
0.2814,0.9924,0.0815,0.9665,1,MLP_v3,0.0
0.2864,0.9922,0.0815,0.9664,1,MLP_v3,0.0
0.2915,0.992,0.0815,0.9663,1,MLP_v3,0.0
0.2965,0.9918,0.0815,0.9662,1,MLP_v3,0.0
0.3015,0.9917,0.0815,0.9661,1,MLP_v3,0.0
0.3065,0.9917,0.0815,0.9661,1,MLP_v3,0.0
0.3116,0.9915,0.0815,0.966,1,MLP_v3,0.0
0.3166,0.9913,0.0815,0.966,1,MLP_v3,0.0
0.3216,0.9912,0.0815,0.9659,1,MLP_v3,0.0
0.3266,0.9912,0.0815,0.9659,1,MLP_v3,0.0
0.3317,0.9912,0.0815,0.9659,1,MLP_v3,0.0
0.3367,0.991,0.0815,0.9658,1,MLP_v3,0.0
0.3417,0.9909,0.0815,0.9658,1,MLP_v3,0.0
0.3467,0.9908,0.0815,0.9657,1,MLP_v3,0.0
0.3518,0.9908,0.0815,0.9657,1,MLP_v3,0.0
0.3568,0.9907,0.0815,0.9657,1,MLP_v3,0.0
0.3618,0.9906,0.0815,0.9656,1,MLP_v3,0.0
0.3668,0.9905,0.0815,0.9655,1,MLP_v3,0.0
0.3719,0.9902,0.0815,0.9654,1,MLP_v3,0.0
0.3769,0.99,0.0815,0.9653,1,MLP_v3,0.0
0.3819,0.9899,0.0815,0.9653,1,MLP_v3,0.0
0.3869,0.9897,0.0815,0.9652,1,MLP_v3,0.0
0.392,0.9895,0.0815,0.9651,1,MLP_v3,0.0
0.397,0.9894,0.0815,0.965,1,MLP_v3,0.0
0.402,0.9893,0.0815,0.965,1,MLP_v3,0.0
